name,city,state,capacity,lat,lon
GREATER SAINT LUKE BAPTIST CHURCH,JACKSON,TN,100.0,35.64111481,-88.84749213
First Baptist Church Of Jacksboro,JACKSBORO,TN,200.0,36.33136246,-84.17992986
First Baptist Church Of Blountville,BLOUNTVILLE,TN,427.0,36.52906941000001,-82.33185906
Roosevelt High School,LOS ANGELES,CA,490.0,34.03918846,-118.21125571
ROOSEVELT HIGH SCHOOL,FRESNO,CA,0.0,36.74314403,-119.75379983
St Paul's Catholic Church,San Francisco,CA,304.0,37.74452112,-122.42731335
ST PAULS UNITED METHODIST CHURCH,OXNARD,CA,175.0,34.21832441,-119.18085975000001
St Peter and Paul Church,San Francisco,CA,334.0,37.80125935,-122.41049603
Vanguard Learning Center-Middle School,LOS ANGELES,CA,0.0,33.91150271,-118.26959473
Vanguard Preparatory Gym,APPLE VALLEY,CA,66.0,34.48266213,-117.16396822
University of California Davis Pavilion,DAVIS,CA,0.0,38.53985454,-121.75212935
St. Columba Retreat House,INVERNESS,CA,80.0,38.10864762,-122.88260412
St. Francis of Assisi Church ***,FILLMORE,CA,120.0,34.39355731000001,-118.93787193
St. Bernard High School,PLAYA DEL REY,CA,65.0,33.95341112000001,-118.43370301
EDISON ELEMENTARY,TACOMA,WA,325.0,47.20438163,-122.47361045000001
FERN HILL ELEMENTARY,TACOMA,WA,300.0,47.18061255,-122.44195431
FRANKLIN ELEMENTARY,TACOMA,WA,275.0,47.24821458,-122.47925819000001
Lenkerville Elementary,MILLERSBURG,PA,0.0,40.53055782000001,-76.96209715
Lemington Senior Center,PITTSBURGH,PA,0.0,40.47081585,-79.89227718000001
Liverpool United Methodist Church,LIVERPOOL,PA,0.0,40.57534405,-76.98995815
Andrews Elementary School,ANDREWS,SC,407.0,33.50440661,-79.52240402000001
Streetsboro Elementary School,STREETSBORO,OH,379.0,41.2356,-81.3218
Pittsville Elementary-middle School,PITTSVILLE,MD,1300.0,38.39119661,-75.42029946999999
Silver Creek Elementary School,AZLE,TX,60.0,32.87068136000001,-97.59562019
Dixie Elementary School,SAN RAFAEL,CA,260.0,38.02968714,-122.57348016
DIXON HIGH SCHOOL,DIXON,CA,1028.0,38.44549768,-121.81801368
KENWOOD MIDDLE SCHOOL,CLARKSVILLE,TN,460.0,36.57989909,-87.38767664000001
Inglewood Baptist Church,NASHVILLE,TN,163.0,36.21615931,-86.72930097
Holston Middle And Elementary School,BLOUNTVILLE,TN,645.0,36.50324988,-82.39696098
Westminster High School,WESTMINSTER,CA,300.0,33.75441814,-118.00710061
Westmont College,SANTA BARBARA,CA,1000.0,34.45002574,-119.65940699000001
Geyer Springs United Methodist Church,LITTLE ROCK,AR,181.0,34.69917391,-92.34291404
RINGGOLD ELEMENTARY SCHOOL,BENTON,AR,125.0,34.56042651,-92.59240396
Roosevelt High School,CORONA,CA,841.0,33.95419353,-117.5669904
ROOSEVELT JUNIOR HIGH SCHOOL,MODESTO,CA,0.0,37.66266483,-121.00758964
Roosevelt K-5 School,PARAMOUNT,CA,232.0,33.91143077,-118.15544378
Swanston Community Center - INACTIVE,SACRAMENTO,CA,154.0,38.58159208,-121.4091729
Tustin High School,TUSTIN,CA,450.0,33.73684538000001,-117.82031143
WILL C WOOD HIGH SCHOOL,VACAVILLE,CA,761.0,38.34604165,-121.97468457
Will Rogers Middle School,FAIR OAKS,CA,670.0,38.65326805,-121.30829594
MARLBOROUGH TOWN HALL,MARLBOROUGH,CT,20.0,41.63219133,-72.46187173
MARVELWOOD SCHOOL,KENT,CT,0.0,41.78261193,-73.46057784
Travis Ranch Activity Center,YORBA LINDA,CA,367.0,33.88719404,-117.75922947000001
Traweek Middle School,WEST COVINA,CA,317.0,34.07919929,-117.90435307000001
Treasure Island Administrative Building 1,San Francisco,CA,530.0,37.82009115,-122.3744602
Lavinia National Guard Training Center,LAVINIA,TN,1066.0,35.85927235,-88.6943196
Beresford High,BERESFORD,SD,0.0,43.07607983,-96.77668855
James Madison Middle School,OAKLAND,CA,198.0,37.72773078,-122.17923537
St Elizabeth Catholic Church,San Francisco,CA,476.0,37.72577925,-122.40835564
Lakeside Baptist Church,BIRMINGHAM,AL,329.0,33.40961807,-86.76495908
Southern Nash Middle School,SPRING HOPE,NC,150.0,35.87563102,-78.09103408
Chestnut Ridge Elementary School,CHURCHVILLE,NY,300.0,43.09363459,-77.7783578
Arrowhead High School North Campus,HARTLAND,WI,400.0,43.11323981,-88.34370092
Union City Area Middle/High School,UNION CITY,PA,1200.0,41.89293176,-79.8398557
Chazy Central School,CHAZY,NY,400.0,44.8877011,-73.43376905
CHRISTIAN COVENANT FELLOWSHIP,CARTERVILLE,IL,276.0,37.75187758000001,-89.07711602
Newstead Fire Company,AKRON,NY,686.0,43.00267716,-78.51710588
First United Methodist Church Hendersonville,HENDERSONVILLE,TN,380.0,36.30847471,-86.60422326000001
Our Lady Of The Lake Catholic Church,HENDERSONVILLE,TN,148.0,36.3362188,-86.59140792
Mount Pleasant United Methodist Church,LITTLE ROCK,AR,37.0,34.70658433,-92.41450007
BAUXITE ELEMENTARY / CAFETORIUM,BAUXITE,AR,250.0,34.56655089,-92.50411751
Pulaski Heights United Methodist Church,LITTLE ROCK,AR,310.0,34.75648771,-92.32687913000001
SPIRIT AND TRUTH BAPTIST CHURCH,TEXARKANA,AR,0.0,33.41447441,-94.02152559000001
Sugar Hill United Methodist,TEXARKANA,AR,55.0,33.48945988000001,-94.04265066
Nevin Platt Middle School,BOULDER,CO,725.0,40.00361806,-105.21025175
Parkview Elementary,RANGELY,CO,1000.0,40.08112163,-108.80797155
First Church Of Chris Scientist,MEMPHIS,TN,30.0,35.14370879000001,-89.90803562
FIRST CHURCH OF NAZARENE CLARKSVILLE,CLARKSVILLE,TN,331.0,36.51575045000001,-87.27856189
Chattanooga First Church Of Nazarene,CHATTANOOGA,TN,200.0,35.00701184,-85.2244834
Nobel Middle School,NORTHRIDGE,CA,270.0,34.25085289,-118.55358264
Walker Childrens Center,SAN DIEGO,CA,9.0,32.91288654,-117.12501859
Westminster Elementary School,WESTMINSTER,SC,359.0,34.67643006,-83.08701077
Sweetwater High School,NATIONAL CITY,CA,742.0,32.65999719,-117.0916987
St. Matthew's Episcopal Church,SACRAMENTO,CA,160.0,38.6234825,-121.4106208
St. Eugene Catholic Becker,SANTA ROSA,CA,0.0,38.44659485,-122.68781996
Tom Rico Recreation Center - Lomita Park,LOMITA,CA,395.0,33.80386286,-118.31454284
Saluda Elementary-Riverside Campus,SALUDA,SC,159.0,34.00478039,-81.77677952
A. C. Corcoran Elementary School,NORTH CHARLESTON,SC,259.0,32.96037074,-80.06107993
Hanahan High School,HANAHAN,SC,0.0,32.91478411000001,-80.00537592
Lambs Elementary School,NORTH CHARLESTON,SC,307.0,32.88539426,-80.06676364
Welcome Baptist Church,GREENVILLE,SC,395.0,34.81399935,-82.44257459
Ansonia High School,Ansonia,CT,0.0,41.32988423,-73.06423763
HOPE LUTHERAN CHURCH,MARYVILLE,MO,110.0,40.33530601,-94.8737771
MARLTON MIDDLE SCHOOL,MARLTON,NJ,683.0,39.86913344000001,-74.89495151000001
Massac County High School,METROPOLIS,IL,465.0,37.17600571000001,-88.72026504
Holland Middle School,HOLLAND,NY,1215.0,42.65124909,-78.5535554
GRANBY MIDDLE SCHOOL,GRANBY,CT,300.0,41.95600122,-72.79004333
Worcester Senior Center,Worcester,MA,0.0,42.24757041,-71.79223655
EDISON MEMORIAL UNITED METHODIST CHURCH,MILAN,OH,105.0,41.2976885,-82.60551376000001
Mount Empire High School,Pine Valley,CA,1000.0,33.22897125,-117.32293238
Poway Community Center And Pool,POWAY,CA,1200.0,32.95462408,-117.04517678
Wingate Elementary School,GRAND JUNCTION,CO,291.0,39.05177562,-108.63683056
Wilton Christian School,WILTON,CA,410.0,38.40943486,-121.24332892000001
Jefferson Elementary School,CALEXICO,CA,2.0,32.6719132,-115.48101295
Jefferson High School,LOS ANGELES,CA,750.0,34.00917808,-118.25156332
Rolling Hills Covenant Church Room 281 4 Of 4,PALOS VERDES PENINSULA,CA,79.0,33.77512053,-118.31894053
Grace Cathedral,San Francisco,CA,480.0,37.79152868,-122.41349977
Grace Chapel,SAN BERNARDINO,CA,100.0,34.10236583,-117.25149924
Dobyns Bennett High School,KINGSPORT,TN,785.0,36.53709136,-82.53004265
