rainfall_1h,rainfall_3h,rainfall_24h,humidity,temperature,wind_speed,month,is_rainy_season,elevation_m,distance_to_river_km,soil_type_encoded,rain_intensity,rain_persistence,saturation_index,drainage_score,heat_humidity,city_risk,label
0.0,0.0,0.0,81.76,37.12,27.51,2,0,5.524,0.05,2,0.0,0.0,0.8176,0.15,30.35,0.75,siaga
18.738,42.313,114.627,67.71,10.18,2.23,6,1,8.397,0.5333,3,18.738,14.1042,0.6771,0.15,6.893,0.45,siaga
102.808,153.838,302.993,76.45,7.55,26.07,1,0,3.227,0.1715,2,102.808,51.2794,0.7645,0.35,5.775,0.5,awas
21.681,40.922,105.443,77.62,31.98,10.93,6,1,3.43,0.05,2,21.681,13.6408,0.7762,0.15,24.819,0.15,siaga
1.548,2.589,10.368,83.09,27.39,16.06,8,1,5.118,0.5037,0,1.548,0.8629,0.8309,0.15,22.755,0.25,siaga
0.0,0.0,0.0,32.1,12.94,15.29,7,1,0.0,0.1995,3,0.0,0.0,0.321,0.15,4.154,0.85,waspada
3.548,9.654,24.144,67.88,25.83,27.44,4,0,0.0,0.05,1,3.548,3.218,0.6788,0.55,17.532,0.15,waspada
0.0,0.0,0.0,77.35,7.48,15.62,7,1,2.091,0.05,3,0.0,0.0,0.7735,0.55,5.788,0.15,waspada
134.513,238.56,465.039,77.58,34.71,9.31,12,0,3.601,0.05,1,134.513,79.5199,0.7758,0.75,26.927,0.65,awas
20.231,39.088,127.216,42.02,22.85,29.98,4,0,0.0,0.1983,3,20.231,13.0293,0.4202,0.55,9.602,0.3,siaga
1.779,5.138,19.234,39.83,13.88,3.62,6,1,2.803,0.05,3,1.779,1.7128,0.3983,0.85,5.526,0.75,waspada
56.445,111.394,267.396,63.09,4.98,17.17,10,0,7.176,0.2333,3,56.445,37.1312,0.6309,0.35,3.141,0.55,awas
2.609,6.495,27.155,67.67,7.05,3.8,11,0,1.923,0.1164,0,2.609,2.1649,0.6767,0.15,4.77,0.9,siaga
